Text,Author,Date
"High-quality nuts from Malaysia., Healthy snack option., Great for on-the-go snacking., Fresh and crunchy nuts., Delicious mix of nuts!,",Khairul,10 Sep 2025
"Teribble...teruk sangat!
The fire is far from the meat!
Jauh panggang dari api!
This small package of nuts cost nearly RM8!?
This will surely be the only order from me...don't expect a repeat order...sorry!
The item is totally different from the ad!?...more",J***r,29 Sep 2025
they mentioned as a big packet but we get small packet not worth waste of money not recomend for buy and also doesn't smell good ...🙅🤦,puspahoppo,05 Sep 2025
今天收到货了，打开试吃，花生烤过火，帶有苦味，核桃，葡萄干巳经漏风，吃起来不脆，漏风软软的味道，味道不新鲜，我不推荐购买，食品漏风 ，令我失望。,thye wong,05 Sep 2025
"Items well pack. Arrived safely and in good condition. Fast Delivery , highly recomended. Really happy with the product, good job, 👍👍👍👍👍 Thank you seller",Ping Choo,23 Sep 2024
Received item safely.Nice packaging recommended thank you seller.,Susila83,27 Aug 2025
I don't live😡,*******030,19 Sep 2025
"Campuran yang sedap dan memuaskan.,",R***i,09 Aug 2025
Good,M***n,06 Sep 2025
"amiging this prodact Great for on-the-go snacking., Perfect for sharing with friends., High-quality nuts from Malaysia., Premium ingredients make it special., Perfectly roasted nuts.,",***,19 Jan 2026
"wau sedapnya makan kacang ini anak aku suka makan 😚😚makanan ini selesanya dimakan dan rangu kanak-kanak suka makan kacang 🥜🥜 campur-campur tapi mantap berkualiti terima kasih 
terima kasih pada pemilik kedai sama orang memperkerjah 🥰 🫰 
syukurlah alhamdulillah Allah memberi k...more",***,22 Jan 2026
not value for money,Jenny Ho,23 Jan 2026
"Convenient ready-to-eat pack., harap setiap pack betullah 100gm ye",Khalidatul Iffah,2 weeks ago
Upset and angry.We are paying for the product.The received product is not the same as the picture shows.Don't cheat like this.The price is not cheap.All repack n sell.,*******327,18 Dec 2025
quality sangat bagus cuz i dapat yang kecil punya so sangat sedap dan boleh beli lagi sebab ada various nuts and kismis,N***a,27 Feb 2024
not an air tight packaging. different from the pic advertised. not recommended.,Masharuddin,13 Dec 2024
"This guy ordered too much pistachio, I will get too little, please trim it for me.",1***7,06 Dec 2025
"mf saya baru mengulas pasal saya baru dtng ambil parcel, isinya sikit sangat bungkus kecil, saya kira ukuran sedang,",t***3,31 Oct 2025
"Great for on-the-go snacking., Perfect for sharing with friends.,",w***e,09 Dec 2024
"Oh dear, a tiny bag of mix nuts I've got. With shipping fees it is consider expensive",lilian lee,16 Nov 2025
"very good. Have all the taste- sweet, salty etc",P***n,16 Oct 2025
not sama as picture..nevermine it free get from lazada so accepted.. tQ lazada,N***I,23 Nov 2025
"why need to give away if cannot eat?🫡  if I eat this
I don't think if I still alive in the next day.",grace567869,09 Oct 2025
"Convenient ready-to-eat pack., Perfectly roasted nuts., Great for on-the-go snacking.,",tuhinshikh4,24 Oct 2025
"Entah, baru nak mencuba, barang telah di terima dalam keadaan baik Dan berbungkus Tanpa ada masalah, terima kasih seller, gambar bukan yang sebenar",Muhammad,19 Sep 2025
100gm very small package...not valued with the price..DONT BUY NEXT TIME....cheating in weight..instead of 100gm but delivered only 10gm,MARIAH,15 Sep 2025
"disappointed, very small not like the photo ,and the rider no exchange to RM 13 .. to 20 that's why no choice give here ,every time delivery rider for lazada like that dont have exchange",Mary,08 Sep 2025
Received in good condition both packs of mixed nuts.,M***y,17 Nov 2025
"Delicious mix of nuts!, Premium ingredients make it special.,",Syfulnizan,31 Oct 2025
thanks,Harman sigh,31 Dec 2024
"Delicious mix of nuts!, thank you seller I'll receive already my order,super delicious this mix nuts,I Will buy again,, and thank u to delivery man ur to much friendly that's good 👍",R***n,31 Jul 2025
free!,Crashdude,14 Jul 2025
"order ni dalam barang tiada plastic shaja.
why no response",T***r,17 Sep 2025
"Fresh and crunchy nuts., High-quality nuts from Malaysia.,",Kavithamahadevan,19 Sep 2025
"dah sampai cah blh makn,tqvm saller tqvm juga curier",kakni.gamat,21 Sep 2025
baik,z***3,29 Nov 2025
wowwww......so excited..... unbelievable......  I don't know how to say to my friends,Mohd Zaki,01 Aug 2025
免费送的，咋吃都好吃,dubinbin227,19 Nov 2025
good products,akhileshkumarsingh2136,22 Nov 2025
"Kacang sampai dengan cepat,  ranggup dimakan,  terima kasih seller",natrah.abdulmanaf.nam,16 Jul 2025
"Sangat baik untuk snek semasa dalam perjalanan.,",Siti Rashid,18 Jul 2025
"Delicious mix of nuts!, Perfect for sharing with friends.,",Puteri,07 Jul 2025
bagus,mohammadelius950,25 Sep 2025
"Perfectly roasted nuts.,",N***a,21 Aug 2025
"Pek sedia dimakan yang mudah.,",N***n,02 Aug 2025
"exsallant Tasty and satisfying mix.,",1***1,13 Jul 2025
"Great for on-the-go snacking., Fresh and crunchy nuts., tqvm for fast delivery 😊👍",venice ng,05 Jul 2024
ok,m***2,21 Aug 2025
"the products a bit odd, not fresh",guest,25 Jun 2025
thank you so much ❤️❤️,raib16757,02 Aug 2025
"kacang putih is less suitable as one of the nuts. the pistachios are slightly soft. otherwise, fresh and tasty",C***n,29 Nov 2024
v nice,1***4,11 Jul 2025
"Pek sedia dimakan yang mudah., Sesuai untuk berkongsi dengan rakan-rakan., Kacang berkualiti tinggi dari Malaysia., Sangat baik untuk snek semasa dalam perjalanan., Pilihan snek yang sihat.,",M***e,16 Jan 2026
"Perfect for sharing with friends., Convenient ready-to-eat pack.,",N***E,05 Feb 2025
no komen,Muhamad,10 Dec 2025
"Sangat baik untuk snek semasa dalam perjalanan.,",Amorei Kelantan,14 Dec 2024
"Kacang segar dan rangup, Kacang berkualiti tinggi dari Malaysia.,",minohharun47,3 weeks ago
not worth more of peanut and gram,Randy,08 Jan 2025
barang tak sampai,denyspina,26 Mar 2025
Belum rasa lagi. Bekas kecil,R***r,16 Dec 2024
